Name,Completion Status,Platforms,Sources
"~Hack~ Fire Emblem: Void's Blitzarre Adventure",2 - Not Played,Game Boy Advance,RetroAchievements
~Hack~ Flutter,2 - Not Played,SNES/Super Famicom,RetroAchievements
~Hack~ Fly Me To The Stars,2 - Not Played,SNES/Super Famicom,RetroAchievements
~Hack~ Friday Night Pikmin,2 - Not Played,GameCube,RetroAchievements
~Hack~ Gacha Hack,2 - Not Played,Game Boy Advance,RetroAchievements
~Hack~ Gambol,2 - Not Played,SNES/Super Famicom,RetroAchievements
~Hack~ Gambol 2,2 - Not Played,SNES/Super Famicom,RetroAchievements
~Hack~ Gamma64,5 - Mastered,Nintendo 64,RetroAchievements
~Hack~ Gengar,2 - Not Played,Nintendo DS,RetroAchievements
~Hack~ Ghostbusters Remastered,2 - Not Played,NES/Famicom,RetroAchievements
~Hack~ Golden Sun: Dawn of Djinn,2 - Not Played,Game Boy Advance,RetroAchievements
~Hack~ Goldfinger 64,2 - Not Played,Nintendo 64,RetroAchievements
~Hack~ Goof Troop ST: Space Treasure,2 - Not Played,SNES/Super Famicom,RetroAchievements
"~Hack~ Goomba's Easter Egg Hunt",2 - Not Played,Nintendo 64,RetroAchievements
"~Hack~ Goomba's Walk, A",2 - Not Played,SNES/Super Famicom,RetroAchievements
"~Hack~ Gourmet Guy's 1000 IQ Food Quiz",2 - Not Played,Nintendo 64,RetroAchievements
~Hack~ Grand Poo World 2,2 - Not Played,SNES/Super Famicom,RetroAchievements
~Hack~ Grand Poo World 3,2 - Not Played,SNES/Super Famicom,RetroAchievements
~Hack~ Grand Theft Auto: Misterix,2 - Not Played,PlayStation 2,RetroAchievements
~Hack~ Gravity Swap 64,2 - Not Played,Nintendo 64,RetroAchievements
~Hack~ Green Star Revenge 3: Back to the Safe Sear Temples,2 - Not Played,Nintendo 64,RetroAchievements
"~Hack~ Grump's Dream Course",2 - Not Played,SNES/Super Famicom,RetroAchievements
"~Hack~ Grunty's Mansion",2 - Not Played,Nintendo 64,RetroAchievements
"~Hack~ Guardian Legend Secret Edition, The",2 - Not Played,NES/Famicom,RetroAchievements
~Hack~ Guitar Hero II: Deluxe - Brand New Hero,2 - Not Played,PlayStation 2,RetroAchievements
~Hack~ Hack,2 - Not Played,SNES/Super Famicom,RetroAchievements
~Hack~ Hack 0,2 - Not Played,SNES/Super Famicom,RetroAchievements
~Hack~ Hack 0 2,2 - Not Played,SNES/Super Famicom,RetroAchievements
~Hack~ Hack 1 2,2 - Not Played,SNES/Super Famicom,RetroAchievements
~Hack~ Hack 2,2 - Not Played,SNES/Super Famicom,RetroAchievements
~Hack~ Hack 3,2 - Not Played,SNES/Super Famicom,RetroAchievements
~Hack~ Hack 4,2 - Not Played,SNES/Super Famicom,RetroAchievements
~Hack~ Hack 5,2 - Not Played,SNES/Super Famicom,RetroAchievements
~Hack~ Hack 6,2 - Not Played,SNES/Super Famicom,RetroAchievements
~Hack~ Hack 7,2 - Not Played,SNES/Super Famicom,RetroAchievements
~Hack~ Half-Life: Blue Shift,2 - Not Played,PlayStation 2,RetroAchievements
"~Hack~ Henry's Adventure",2 - Not Played,SNES/Super Famicom,RetroAchievements
~Hack~ Holiday Hex,2 - Not Played,SNES/Super Famicom,RetroAchievements
~Hack~ Hoshi wo Miru Hito: Bad Ebuna Patch 2,2 - Not Played,NES/Famicom,RetroAchievements
~Hack~ Hotel Mario II,2 - Not Played,NES/Famicom,RetroAchievements
~Hack~ HotHead Heights,2 - Not Played,SNES/Super Famicom,RetroAchievements
"~Hack~ Hunt for the Chocolate Egg, The",2 - Not Played,SNES/Super Famicom,RetroAchievements
~Hack~ Hyper Metroid,2 - Not Played,SNES/Super Famicom,RetroAchievements
~Hack~ Hyper Street Kart: The Road Warrior,2 - Not Played,SNES/Super Famicom,RetroAchievements
"~Hack~ Hypno's Lullaby",5 - Mastered,Game Boy Advance,RetroAchievements
~Hack~ I HATE YOU,2 - Not Played,SNES/Super Famicom,RetroAchievements
~Hack~ I Wanna Be The ROM Hack: Prototype,2 - Not Played,SNES/Super Famicom,RetroAchievements
~Hack~ Ilusiyellow?,2 - Not Played,SNES/Super Famicom,RetroAchievements
~Hack~ Interesting Kaizo World,2 - Not Played,SNES/Super Famicom,RetroAchievements
~Hack~ Intershellar,2 - Not Played,SNES/Super Famicom,RetroAchievements
~Hack~ Invictus,2 - Not Played,SNES/Super Famicom,RetroAchievements
~Hack~ Ippan Mario,2 - Not Played,SNES/Super Famicom,RetroAchievements
~Hack~ Iron Emblem,2 - Not Played,Game Boy Advance,RetroAchievements
~Hack~ Iron Man: Mushroom Avenger,2 - Not Played,SNES/Super Famicom,RetroAchievements
"~Hack~ Jeff's No. 1 Bass Fishing",2 - Not Played,SNES/Super Famicom,RetroAchievements
~Hack~ Joe Biden For The PS2 2: Re-elected,2 - Not Played,SNES/Super Famicom,RetroAchievements
"~Hack~ Joy of Kaizo with Bob Ross, The",2 - Not Played,SNES/Super Famicom,RetroAchievements
~Hack~ JUMP | Janked Up Mario Party,2 - Not Played,SNES/Super Famicom,RetroAchievements
~Hack~ JUMP 1/2 | Janked Up Mario Party 1/2,2 - Not Played,SNES/Super Famicom,RetroAchievements
~Hack~ Junkoid,2 - Not Played,NES/Famicom,RetroAchievements
